acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,name
0.893,https://api.spotify.com/v1/audio-analysis/4zLY4SsBmfFo3gsk6GCjUM,0.592,161160,0.357,4zLY4SsBmfFo3gsk6GCjUM,4.96e-05,7,0.136,-11.976,1,0.0622,144.06,4,https://api.spotify.com/v1/tracks/4zLY4SsBmfFo3gsk6GCjUM,audio_features,spotify:track:4zLY4SsBmfFo3gsk6GCjUM,0.489,Honey Pie - 2018 Mix
0.00938,https://api.spotify.com/v1/audio-analysis/2pymXFmRFGQ5b0ZXYRdxjn,0.63,174440,0.616,2pymXFmRFGQ5b0ZXYRdxjn,0.00962,11,0.0792,-7.972,0,0.0504,120.922,3,https://api.spotify.com/v1/tracks/2pymXFmRFGQ5b0ZXYRdxjn,audio_features,spotify:track:2pymXFmRFGQ5b0ZXYRdxjn,0.912,Savoy Truffle - 2018 Mix
0.129,https://api.spotify.com/v1/audio-analysis/32RwqKbqyzi7NJ11NBbOlN,0.481,181867,0.475,32RwqKbqyzi7NJ11NBbOlN,0.0209,0,0.196,-11.762,1,0.0264,76.795,4,https://api.spotify.com/v1/tracks/32RwqKbqyzi7NJ11NBbOlN,audio_features,spotify:track:32RwqKbqyzi7NJ11NBbOlN,0.489,Cry Baby Cry - 2018 Mix
0.775,https://api.spotify.com/v1/audio-analysis/6FQkfaghoLt72rLmhsAqFy,0.193,500853,0.706,6FQkfaghoLt72rLmhsAqFy,0.0908,9,0.782,-12.392,0,0.369,82.224,4,https://api.spotify.com/v1/tracks/6FQkfaghoLt72rLmhsAqFy,audio_features,spotify:track:6FQkfaghoLt72rLmhsAqFy,0.119,Revolution 9 - 2018 Mix
0.888,https://api.spotify.com/v1/audio-analysis/2PWnAe9C52xvJYhBFNuIqm,0.131,195213,0.343,2PWnAe9C52xvJYhBFNuIqm,0.383,7,0.107,-15.122,1,0.0349,95.082,3,https://api.spotify.com/v1/tracks/2PWnAe9C52xvJYhBFNuIqm,audio_features,spotify:track:2PWnAe9C52xvJYhBFNuIqm,0.137,Good Night - 2018 Mix
0.756,https://api.spotify.com/v1/audio-analysis/2uaSMUAgYqmbsdbO9F9bPN,0.658,179907,0.53,2uaSMUAgYqmbsdbO9F9bPN,0.0,7,0.185,-8.48,1,0.0845,127.719,4,https://api.spotify.com/v1/tracks/2uaSMUAgYqmbsdbO9F9bPN,audio_features,spotify:track:2uaSMUAgYqmbsdbO9F9bPN,0.557,Back In The U.S.S.R. - Esher Demo
0.655,https://api.spotify.com/v1/audio-analysis/0dPsctAum4J6B9Z2xTRz2A,0.387,287053,0.266,0dPsctAum4J6B9Z2xTRz2A,0.0129,10,0.143,-12.38,0,0.0302,89.173,4,https://api.spotify.com/v1/tracks/0dPsctAum4J6B9Z2xTRz2A,audio_features,spotify:track:0dPsctAum4J6B9Z2xTRz2A,0.271,Dear Prudence - Esher Demo
0.689,https://api.spotify.com/v1/audio-analysis/6a6XoJzGeBIDy9pcDSrOgQ,0.697,115600,0.288,6a6XoJzGeBIDy9pcDSrOgQ,0.0,4,0.127,-9.951,1,0.0441,113.622,4,https://api.spotify.com/v1/tracks/6a6XoJzGeBIDy9pcDSrOgQ,audio_features,spotify:track:6a6XoJzGeBIDy9pcDSrOgQ,0.616,Glass Onion - Esher Demo
0.403,https://api.spotify.com/v1/audio-analysis/4xNXqEBx1VXuph56zyUzBg,0.76,190600,0.601,4xNXqEBx1VXuph56zyUzBg,0.0,8,0.0859,-7.883,1,0.0495,118.73,4,https://api.spotify.com/v1/tracks/4xNXqEBx1VXuph56zyUzBg,audio_features,spotify:track:4xNXqEBx1VXuph56zyUzBg,0.549,"Ob-La-Di, Ob-La-Da - Esher Demo"
0.642,https://api.spotify.com/v1/audio-analysis/4Fq5tBgj3RwAhffVY5p1Nl,0.594,160920,0.357,4Fq5tBgj3RwAhffVY5p1Nl,0.0,8,0.163,-9.262,0,0.0397,109.317,4,https://api.spotify.com/v1/tracks/4Fq5tBgj3RwAhffVY5p1Nl,audio_features,spotify:track:4Fq5tBgj3RwAhffVY5p1Nl,0.494,The Continuing Story Of Bungalow Bill - Esher Demo
